query_id	doc_id	human_rel
2024-217488	msmarco_v2.1_doc_45_1506027263#8_3073617797	0
2024-141577	msmarco_v2.1_doc_37_304449165#5_646957439	0
2024-105741	msmarco_v2.1_doc_46_697242332#4_1471819853	0
2024-96063	msmarco_v2.1_doc_39_170562554#1_346355368	0
2024-214257	msmarco_v2.1_doc_35_228387684#0_502110531	0
2024-213817	msmarco_v2.1_doc_51_692777906#3_1439609382	0
2024-213817	msmarco_v2.1_doc_10_773758599#3_1436227878	0
2024-143869	msmarco_v2.1_doc_26_325054698#16_650779189	0
2024-96063	msmarco_v2.1_doc_30_1691080197#0_3588061148	0
2024-141577	msmarco_v2.1_doc_23_681625181#3_1505078448	0
2024-22886	msmarco_v2.1_doc_13_1325318360#5_2928434059	0
2024-96063	msmarco_v2.1_doc_39_1199170318#3_2443097081	0
2024-69711	msmarco_v2.1_doc_43_183023711#7_404288552	0
2024-88894	msmarco_v2.1_doc_08_271708499#1_520044014	0
2024-141577	msmarco_v2.1_doc_00_725358051#2_1349421908	0
2024-19025	msmarco_v2.1_doc_05_584160418#16_851859001	0
2024-41918	msmarco_v2.1_doc_06_285179120#4_499524770	0
2024-121840	msmarco_v2.1_doc_02_362369783#0_627977978	0
2024-105741	msmarco_v2.1_doc_54_280832078#19_632384476	0
2024-141577	msmarco_v2.1_doc_10_1626155646#7_2663552547	0
2024-213817	msmarco_v2.1_doc_03_675438276#14_1162868344	0
2024-213817	msmarco_v2.1_doc_31_271317333#5_583315079	0
2024-73918	msmarco_v2.1_doc_04_643640604#3_1413600377	0
2024-19025	msmarco_v2.1_doc_30_520843313#3_1179120215	0
2024-105741	msmarco_v2.1_doc_47_123370850#3_234935660	0
2024-88894	msmarco_v2.1_doc_42_1194437956#1_2693832400	0
2024-213789	msmarco_v2.1_doc_26_1206673420#9_2178637330	0
2024-79154	msmarco_v2.1_doc_12_546445072#6_989873379	0
2024-219624	msmarco_v2.1_doc_40_1255071790#11_2685266132	0
2024-35284	msmarco_v2.1_doc_17_947484347#4_1040252547	0
2024-88894	msmarco_v2.1_doc_08_263528162#0_505136291	0
2024-41918	msmarco_v2.1_doc_02_1560929682#1_2627057431	0
2024-213817	msmarco_v2.1_doc_05_1626742686#4_3110456570	0
2024-44059	msmarco_v2.1_doc_05_1607003252#0_3076466103	0
2024-19025	msmarco_v2.1_doc_02_1604182049#7_2721153786	0
2024-214257	msmarco_v2.1_doc_39_481026948#0_1057852555	0
2024-224926	msmarco_v2.1_doc_37_391678443#8_824093705	0
2024-43983	msmarco_v2.1_doc_19_330848815#8_357176792	0
2024-105741	msmarco_v2.1_doc_13_191771384#10_438680144	0
2024-152259	msmarco_v2.1_doc_14_610458760#14_1257390616	0
2024-224926	msmarco_v2.1_doc_25_1099291023#1_2073630130	0
